gamename,pop,ip,agent,qtd,cluster,client_id
ira-nig,riomp,179.189.52.244,894af19d7638770229799ae0b5cb49e0cc462309,1,7,1
hol-mex,riomp,191.247.226.149,2be06047367a57f3eed7ede9a7b5b1bba4c57a88,1,2,2
aus-hol,spomp,186.215.58.103,1688905d6b7437cd5c01be0f30d0e90ddfacd5f8,1,4,3
ira-nig,riomp,177.185.2.20,7a64caf6773dcbd199be33c22dbd30bd37f7a372,3,3,4
bel-alg,riomp,186.221.185.216,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,6,5
nig-arg_bos-ira,riomp,186.207.69.90,4333488ba798b74ec37051100efa275682d92d1c,1,2,6
spa-hol,riomp,179.222.111.182,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,7,7
ita-cri,spomp,177.159.127.196,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,8
bel-rus,spomp,186.216.149.90,717fa8fdd171ac13c36304af1d615ee3c321e3ff,2,3,9
sui-fra,riomp,200.129.179.17,7a6ea9f61bf602d6fe98d83e821c6200081c5e66,1,1,10
eng-ita,spomp,189.41.63.224,b2990bfa9e15fd2cc5b915281845342748fdabae,2,3,11
sui-fra,spomp,177.139.194.213,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,12
mex-cam,spomp,186.231.97.38,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,13
mar-jap,spomp,201.10.68.112,a9660bb0ff694424cb86b10498a28bebfb050c73,2,3,14
aus-hol,riomp,186.226.176.122,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,15
mex-cam,spomp,177.32.241.100,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,6,16
cam-bra_cro-mex,spomp,201.95.201.212,98baa0ff56188180d72003c664d3928a2c4c3118,1,4,17
aus-hol,riomp,201.49.159.68,4991a63a755c0a1f2acd6ac162d06058945efe42,2,6,18
spa-chi,spomp,179.179.172.253,894af19d7638770229799ae0b5cb49e0cc462309,2,3,19
spa-hol,spomp,189.41.70.98,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,1,4,20
mex-cam,riomp,177.99.5.167,7a6ea9f61bf602d6fe98d83e821c6200081c5e66,2,6,21
cri-ing_ita-uru,spomp,179.208.117.91,37bdd4012d6928efb02528d6cb46db9af5f244f0,1,2,22
aus-hol,spomp,186.213.16.35,b2990bfa9e15fd2cc5b915281845342748fdabae,4,6,23
spa-hol,riomp,187.14.212.176,c0236d31153b6421284a662ed5ad11fb2d50db0f,5,2,24
usa-por,spomp,200.103.130.17,894af19d7638770229799ae0b5cb49e0cc462309,2,3,25
aus-hol,spomp,177.40.2.118,894af19d7638770229799ae0b5cb49e0cc462309,4,3,26
bra-cro,spomp,200.140.95.130,219460d9be7caff720d11a53a01f58926d706c0c,2,3,27
ira-nig,riomp,177.192.100.214,a14c294e78da47b05b0f83156e6f72af0c4e26c1,2,2,28
aus-hol,spomp,186.233.152.13,894af19d7638770229799ae0b5cb49e0cc462309,1,7,29
spa-hol,riomp,143.54.102.69,39af37d86a703ef1ca43a29654a6a561b2eaccc1,1,7,30
bra-mex,spomp,201.35.91.238,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,4,31
spa-hol,spomp,201.40.144.227,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,32
aus-spa_hol-chi,riomp,179.235.238.55,7e59df8b3d2e55069406031c25610a99ac9401fa,3,6,33
mex-cam,riomp,189.32.130.98,38603bb00d1ec09f77f331dc60e73ffc723ef276,4,3,34
ira-nig,spomp,189.75.179.75,a936c3fd790a33121ce9c2e91bb5d95dad0d32c1,1,1,35
arg-bos,riomp,187.19.116.245,894af19d7638770229799ae0b5cb49e0cc462309,1,4,36
aus-spa_hol-chi,riomp,201.59.0.90,219460d9be7caff720d11a53a01f58926d706c0c,1,1,37
mex-cam,spomp,187.57.26.151,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,1,38
jap-gre,spomp,201.15.26.159,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,39
ger-por,riomp,177.182.99.167,b2990bfa9e15fd2cc5b915281845342748fdabae,1,5,40
spa-hol,spomp,177.19.226.158,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,3,3,41
cam-cro,riomp,177.17.70.130,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,42
mex-cam,spomp,189.11.243.91,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,7,43
uru-ing,riomp,201.9.76.141,b2990bfa9e15fd2cc5b915281845342748fdabae,1,4,44
col-mar,spomp,177.9.70.155,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,45
spa-hol,spomp,186.204.148.79,fcd0be4a6029b4751178c9e09eb82b9c2d4346ff,2,6,46
aus-spa_hol-chi,spomp,187.11.248.252,894af19d7638770229799ae0b5cb49e0cc462309,1,4,47
rus-sko,spomp,177.138.68.36,1d3533473747867f5ae2e667e469e9838feaeff0,1,4,48
cam-bra_cro-mex,spomp,177.3.251.167,dc135cc7a47568ea900ecd3b961a46f9dc3a15c8,2,6,49
gha-usa,spomp,177.132.69.67,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,4,50
spa-hol,spomp,189.62.193.208,856961a82bc9253f227d24b1522d9b298961c2b6,1,4,51
bel-alg,riomp,200.217.147.83,894af19d7638770229799ae0b5cb49e0cc462309,2,3,52
gha-usa,spomp,186.208.80.58,34f90fa7d6a77267e4723a932217e6cc4a52b074,1,2,53
mex-cam,spomp,179.225.231.36,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,4,54
spa-chi,riomp,187.87.165.132,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,1,5,55
aus-spa_hol-chi,riomp,201.32.17.41,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,4,56
bel-usa,riomp,179.155.210.202,c1950a2f2b250e6ce2e5da53c9d3059ace20b80c,1,2,57
eng-ita,riomp,189.71.101.33,219460d9be7caff720d11a53a01f58926d706c0c,1,7,58
spa-chi,spomp,177.201.79.51,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,59
spa-hol,spomp,200.136.6.211,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,60
bel-alg,spomp,189.31.122.88,894af19d7638770229799ae0b5cb49e0cc462309,1,1,61
ger-por,spomp,187.121.57.59,894af19d7638770229799ae0b5cb49e0cc462309,1,5,62
hon-equ,riomp,187.127.56.174,6fea61de955ebcb20780f9a3033dc429097bedf1,1,7,63
mex-cam,spomp,177.182.190.18,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,7,3,64
ger-gha,riomp,189.114.0.59,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,5,65
hol-arg,riomp,186.223.189.239,4b4e7ff552142440214f219b752ac66fb32a30ea,3,2,66
bra-col,riomp,191.61.241.159,5384a8df7b1724880dcd2196684de136282c1954,1,2,67
bra-mex,spomp,186.232.48.139,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,68
bel-usa,riomp,191.247.226.145,72e119ab509aedb17a35d93e33c76a1d29abefbe,1,2,69
spa-hol,riomp,177.158.53.52,f7d7cefa0313cf986d246124ba155fdc11437d7d,1,7,70
spa-chi,spomp,177.135.145.139,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,5,71
bel-alg,spomp,200.232.180.66,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,4,72
spa-chi,spomp,187.37.111.157,17c1e0f5c5cf799b48ce93447baabd6eb53e9d4a,1,2,73
arg-bos,spomp,177.33.82.98,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,74
fra-hon,riomp,201.78.94.132,f649355a73758feaed760693a196c77573763a51,1,7,75
mex-cam,riomp,189.81.186.234,259d48b6a28c881e9d0bb75976c0b0517fb2a41a,1,4,76
col-mar,spomp,189.126.241.50,f649355a73758feaed760693a196c77573763a51,1,7,77
jap-gre,riomp,186.218.213.84,a9660bb0ff694424cb86b10498a28bebfb050c73,1,4,78
spa-chi,riomp,187.86.84.6,e2e64ee84c4d54ab2ce3b3db4ff8f82ba9b59106,1,7,79
aus-hol,spomp,177.135.49.85,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,80
ger-por,spomp,187.66.213.148,894af19d7638770229799ae0b5cb49e0cc462309,4,3,81
spa-hol,riomp,177.83.114.226,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,5,3,82
sui-fra,spomp,179.184.159.38,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,83
ger-por,spomp,189.72.59.25,1688905d6b7437cd5c01be0f30d0e90ddfacd5f8,1,7,84
cri-gre,spomp,177.132.150.241,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,85
mex-cam,spomp,187.54.231.152,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,86
bel-rus,spomp,177.103.35.245,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,87
fra-hon,spomp,177.102.29.72,894af19d7638770229799ae0b5cb49e0cc462309,3,3,88
bra-ale,riomp,186.221.252.25,8312720115497abc9fb9f91828584d7c38e73b38,1,2,89
mex-cam,spomp,187.19.2.30,2dcf1dc39737c6f8bd986686dff80cb99839ec78,3,3,90
col-uru,riomp,189.67.117.197,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,2,2,91
spa-hol,spomp,187.45.96.251,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,2,3,92
ger-por,spomp,177.0.242.199,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,3,93
spa-hol,riomp,187.14.134.146,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,3,2,94
aus-hol,spomp,179.245.68.140,4b52b6395ad87173d478d0a3cb3f410769d980bd,1,2,95
ira-nig,spomp,177.42.24.7,894af19d7638770229799ae0b5cb49e0cc462309,1,7,96
mex-cam,riomp,187.78.183.182,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,97
mex-cam,spomp,186.208.208.46,894af19d7638770229799ae0b5cb49e0cc462309,3,3,98
bel-alg,riomp,201.8.73.57,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,7,99
spa-hol,spomp,201.41.185.3,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,7,100
cam-cro,riomp,201.75.197.82,e6b3aa4302d6b61efb2d4a13844bcb1e1bd8e54f,1,2,101
usa-ger_por-gha,riomp,186.192.18.68,38ff28a4cc45b6f0c668ca5b8aea29d0315d5c4d,3,6,102
ita-cri,spomp,187.18.206.222,1d3533473747867f5ae2e667e469e9838feaeff0,1,4,103
ita-cri,riomp,177.185.76.138,a9660bb0ff694424cb86b10498a28bebfb050c73,2,3,104
cri-ing_ita-uru,spomp,191.254.28.28,5097e4c839efede2cbfc59881ece482236561a76,1,2,105
mex-cam,riomp,177.17.241.221,b2990bfa9e15fd2cc5b915281845342748fdabae,1,4,106
spa-hol,spomp,177.85.156.103,fcd0be4a6029b4751178c9e09eb82b9c2d4346ff,1,5,107
uru-ing,spomp,187.10.100.78,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,4,108
gha-usa,riomp,200.135.56.2,ab9591d1bbbd6a90cafd4720c1838e9d181a40ba,1,4,109
hol-arg,spomp,189.120.82.163,348e034b04e76a3160cf33c2541c7b76a9642d4e,2,2,110
eng-ita,riomp,177.65.216.192,4ef7f953d576e3400cf007b2691f589497e86cac,2,6,111
bra-col,riomp,200.253.135.216,5384a8df7b1724880dcd2196684de136282c1954,4,2,112
uru-ing,riomp,200.152.117.100,894af19d7638770229799ae0b5cb49e0cc462309,1,7,113
aus-spa_hol-chi,riomp,189.83.90.99,b2990bfa9e15fd2cc5b915281845342748fdabae,1,5,114
ger-por,riomp,177.124.242.110,219460d9be7caff720d11a53a01f58926d706c0c,2,3,115
spa-chi,riomp,179.192.147.90,f649355a73758feaed760693a196c77573763a51,2,3,116
uru-cri,spomp,177.156.157.123,894af19d7638770229799ae0b5cb49e0cc462309,1,1,117
hol-arg,spomp,177.61.84.27,9e3ebf773a30f2d5c0ddbbdd009a0d666efeea8e,1,2,118
sui-fra,riomp,179.211.227.10,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,119
gha-usa,spomp,201.81.239.100,cc21050f9eb3b17a4736a617b95e71c011a1794e,3,6,120
usa-por,spomp,177.203.194.18,d1e6984f8c6ffaf9f82a71be43ba3aef583cda3b,1,2,121
eng-ita,riomp,187.106.201.87,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,122
arg-bos,spomp,177.52.122.87,e8d8fd74209cf056a34f1a1986f87bc12cde919a,1,7,123
bel-usa,spomp,179.109.81.4,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,124
ger-por,spomp,200.102.239.60,1688905d6b7437cd5c01be0f30d0e90ddfacd5f8,1,7,125
jap-col_gre-mar,spomp,201.47.220.107,edd71802b12c7171623f7c88c0093d8887e42f21,3,2,126
usa-por,spomp,189.114.205.6,6a8115ea55d085662d1c2bea4c3a511a6e152d73,1,1,127
spa-hol,spomp,177.4.206.223,5384a8df7b1724880dcd2196684de136282c1954,1,2,128
ger-gha,spomp,187.112.122.175,beb5630183ac9cc83b2c0f24e70f2782fbbe836b,5,3,129
aus-hol,riomp,189.12.124.196,6a1661efe3c936b49a6eb0b7dfec8b1990904244,2,3,130
bra-cro,riomp,201.18.78.220,6a0e774aca7dcc401bededae01080a6897ec0d3e,1,7,131
arg-ira,riomp,201.19.151.50,fb4ba1bf9db184b8d649db73a24c5d98571d7d8d,1,4,132
arg-bos,riomp,187.64.89.110,4289783e2c482cbf532e1b066f9f2ec1a4920c25,8,6,133
spa-hol,spomp,177.141.147.62,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,1,4,134
col-mar,riomp,187.113.116.107,219460d9be7caff720d11a53a01f58926d706c0c,1,1,135
arg-sui,spomp,179.176.0.54,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,6,2,136
cam-bra_cro-mex,spomp,179.176.242.222,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,137
ger-por,spomp,177.137.235.3,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,5,138
cri-ing_ita-uru,spomp,200.161.225.10,6a1661efe3c936b49a6eb0b7dfec8b1990904244,1,5,139
cam-cro,riomp,191.177.54.24,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,1,4,140
mex-cam,riomp,186.218.129.30,57f3fe1b6badbc3f8969f716d4c34b05c3f6d4dc,1,1,141
mex-cam,spomp,201.25.219.88,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,3,3,142
spa-chi,spomp,177.82.108.228,894af19d7638770229799ae0b5cb49e0cc462309,3,3,143
aus-spa_hol-chi,riomp,177.34.2.51,894af19d7638770229799ae0b5cb49e0cc462309,3,6,144
aus-hol,spomp,186.249.4.26,894af19d7638770229799ae0b5cb49e0cc462309,4,6,145
ger-por,spomp,201.55.38.73,e8d8fd74209cf056a34f1a1986f87bc12cde919a,3,3,146
ger-por,riomp,186.205.12.105,a9660bb0ff694424cb86b10498a28bebfb050c73,1,5,147
sui-fra,riomp,187.15.87.209,8bc0ab73fa7f0980b3ed06301a25aaa6281eeacd,1,2,148
ale-arg,spomp,179.104.154.176,894af19d7638770229799ae0b5cb49e0cc462309,1,7,149
bra-hol,riomp,177.208.81.36,4b4e7ff552142440214f219b752ac66fb32a30ea,1,2,150
aus-hol,riomp,177.16.233.244,d5eb088783cef9ac353695c6997160f802cbb84f,1,2,151
aus-spa_hol-chi,spomp,201.41.123.187,b2990bfa9e15fd2cc5b915281845342748fdabae,4,6,152
mex-cam,spomp,179.110.32.4,e8d8fd74209cf056a34f1a1986f87bc12cde919a,1,1,153
sui-fra,riomp,179.192.231.183,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,3,154
ira-nig,riomp,177.190.209.10,9b04140eb5ba4a05fd355e215af2888fc5562b50,1,7,155
ira-nig,riomp,187.104.6.12,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,156
aus-hol,riomp,189.60.47.188,5350c65175dea74fb32f6e547c74b1dd4e660014,1,4,157
fra-ale,riomp,179.16.35.129,4b4e7ff552142440214f219b752ac66fb32a30ea,4,2,158
spa-chi,riomp,201.50.48.185,219460d9be7caff720d11a53a01f58926d706c0c,1,4,159
hol-cri,riomp,200.165.233.129,31701f7173e827cc1fd99c013c5e631602688942,1,1,160
aus-hol,spomp,186.194.235.93,c3ca9ed40ebe7d1911c3d2231c81d03796ed8be0,1,1,161
aus-spa_hol-chi,spomp,186.231.124.105,894af19d7638770229799ae0b5cb49e0cc462309,4,6,162
jap-gre,riomp,179.157.85.208,c48bc19cb2127d1dc49598ecfe3a08c4e1f002c6,1,2,163
bra-cro,spomp,177.2.95.172,42c0f3ec36c50316595b48f030ecd30631f7da5f,11,6,164
hon-sui_equ-fra,spomp,177.104.48.4,b23fd5bcbfa45131e438f61213f25cf1a8f013cd,1,1,165
aus-spa_hol-chi,riomp,191.179.229.117,219460d9be7caff720d11a53a01f58926d706c0c,1,1,166
ger-por,spomp,179.98.141.92,b2990bfa9e15fd2cc5b915281845342748fdabae,2,3,167
hol-mex,riomp,201.58.69.5,eef0893526bc36ba06c8fb9bf977b08094fdc474,8,2,168
hol-arg,riomp,189.4.196.35,eb015e797e7c5b5d47117e4cdb8ce666937834af,1,2,169
gha-usa,spomp,201.49.101.108,b2990bfa9e15fd2cc5b915281845342748fdabae,4,6,170
aus-hol,riomp,187.13.50.118,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,3,3,171
usa-por,spomp,201.92.116.121,894af19d7638770229799ae0b5cb49e0cc462309,3,3,172
ita-cri,spomp,200.175.93.20,894af19d7638770229799ae0b5cb49e0cc462309,2,3,173
arg-ira,spomp,179.209.18.162,47c4619cb6249257996c817425f5bfeb01a1fb65,2,2,174
uru-ing,spomp,177.38.54.204,894af19d7638770229799ae0b5cb49e0cc462309,1,7,175
aus-hol,riomp,191.249.6.81,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,176
spa-hol,riomp,200.201.27.132,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,2,6,177
ita-cri,riomp,201.17.186.91,182657c06be8e5d4eefdbb60c971c910232425b7,2,6,178
ita-cri,riomp,187.125.84.43,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,4,179
mar-jap,spomp,189.75.150.13,894af19d7638770229799ae0b5cb49e0cc462309,5,6,180
cam-bra_cro-mex,riomp,189.107.94.247,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,4,181
ita-cri,spomp,187.3.49.239,a9660bb0ff694424cb86b10498a28bebfb050c73,1,4,182
aus-spa_hol-chi,spomp,189.114.164.192,f9df8effe7623190c79258d1ab41c820f143eb0d,1,1,183
jap-gre,riomp,177.64.14.147,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,184
arg-bos,riomp,179.234.73.207,ceff099998f735f99992f59299e5dbd74a53e8e6,5,2,185
arg-sui,riomp,177.183.114.70,aa739e3aaaa1fbfc8667bb26120e9930df881a82,1,1,186
spa-hol,riomp,143.54.218.13,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,187
sui-fra,riomp,186.244.64.77,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,188
sui-fra,spomp,200.185.248.138,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,189
jap-gre,riomp,177.195.102.247,894af19d7638770229799ae0b5cb49e0cc462309,1,4,190
ger-por,riomp,179.192.123.41,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,4,191
sui-fra,spomp,177.139.197.170,ae673b88a9a85c89f8e86d122fb0cae345e89777,2,2,192
sui-fra,spomp,187.84.80.62,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,2,3,193
sui-fra,spomp,179.176.56.47,894af19d7638770229799ae0b5cb49e0cc462309,1,1,194
ita-cri,spomp,179.186.58.83,9b04140eb5ba4a05fd355e215af2888fc5562b50,1,1,195
bel-alg,spomp,201.1.150.122,9b04140eb5ba4a05fd355e215af2888fc5562b50,2,3,196
uru-ing,riomp,189.25.28.236,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,1,4,197
fra-ale,spomp,201.62.86.240,e75abfa40d744a0deab42e0be582891be8956a08,1,2,198
cam-cro,riomp,179.232.143.2,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,199
jap-gre,spomp,187.45.2.111,a9660bb0ff694424cb86b10498a28bebfb050c73,1,7,200
ira-nig,spomp,200.160.13.109,7b10b5771034cd7d2f383ceaf36dd0663c70deaa,1,1,201
ger-por,riomp,179.178.219.136,894af19d7638770229799ae0b5cb49e0cc462309,1,5,202
ita-cri,riomp,200.235.185.50,6336ced8da165d0fdb2a2bdc1a129014d37a06cc,1,7,203
mex-cam,spomp,201.54.69.13,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,204
spa-hol,spomp,187.54.149.126,55efde50856b21f45aa4ea38a7358e8752aa9980,1,7,205
rus-sko,riomp,177.41.40.187,894af19d7638770229799ae0b5cb49e0cc462309,2,3,206
spa-hol,riomp,189.48.169.190,894af19d7638770229799ae0b5cb49e0cc462309,1,7,207
cam-bra_cro-mex,riomp,201.80.179.86,894af19d7638770229799ae0b5cb49e0cc462309,1,4,208
sui-fra,riomp,200.129.163.17,bcecac675ccbda64625a8b3147c12ef17c003c11,1,2,209
ger-por,spomp,177.155.143.2,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,5,210
cam-bra_cro-mex,riomp,189.49.32.75,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,211
mex-cam,riomp,179.185.75.236,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,7,212
nig-bos,spomp,191.255.223.100,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,213
cam-bra_cro-mex,riomp,189.93.191.63,c0236d31153b6421284a662ed5ad11fb2d50db0f,1,2,214
cam-bra_cro-mex,spomp,187.112.228.163,1d3533473747867f5ae2e667e469e9838feaeff0,1,1,215
usa-ger_por-gha,riomp,186.228.84.50,2a3a89d4903aa4513686652e9060aaf535ba85b3,1,2,216
bra-mex,riomp,177.66.255.22,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,2,3,217
spa-chi,riomp,189.96.25.239,e6b3aa4302d6b61efb2d4a13844bcb1e1bd8e54f,1,2,218
cam-bra_cro-mex,spomp,177.3.218.64,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,4,219
arg-ira,spomp,189.10.32.249,27752be7ee1615b4d97602d4788e8d99184c9549,1,7,220
nig-bos,spomp,187.73.213.114,42c0f3ec36c50316595b48f030ecd30631f7da5f,4,6,221
mex-cam,spomp,177.40.86.199,e8d8fd74209cf056a34f1a1986f87bc12cde919a,2,3,222
spa-chi,riomp,179.235.253.246,b2990bfa9e15fd2cc5b915281845342748fdabae,1,5,223
ira-nig,spomp,187.0.239.141,894af19d7638770229799ae0b5cb49e0cc462309,1,7,224
bel-rus,riomp,200.141.139.191,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,225
mar-jap,spomp,177.96.124.107,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,2,6,226
usa-por,spomp,179.99.235.26,a9660bb0ff694424cb86b10498a28bebfb050c73,2,3,227
mar-jap,spomp,189.100.202.150,f1685753ef79a6802e602a374a49cf7fb77d57c1,2,6,228
aus-hol,riomp,189.106.195.244,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,2,6,229
arg-bos,spomp,177.81.179.239,e8d8fd74209cf056a34f1a1986f87bc12cde919a,3,6,230
ger-por,riomp,179.199.157.228,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,231
aus-hol,riomp,179.199.163.73,894af19d7638770229799ae0b5cb49e0cc462309,2,3,232
ita-cri,spomp,187.4.12.179,894af19d7638770229799ae0b5cb49e0cc462309,2,3,233
bel-usa,spomp,187.73.175.196,9a3b2e3611d73e36785e17d433ebaa2e55ffe0f0,1,1,234
usa-ger_por-gha,riomp,201.53.22.100,edd71802b12c7171623f7c88c0093d8887e42f21,2,2,235
ira-nig,riomp,200.149.130.148,38ff28a4cc45b6f0c668ca5b8aea29d0315d5c4d,1,1,236
spa-chi,spomp,200.138.85.35,2dcf1dc39737c6f8bd986686dff80cb99839ec78,1,5,237
aus-spa_hol-chi,riomp,177.36.6.135,d3587de89b72e2353885c5587e36c6d04fa6822c,1,7,238
uru-cri,spomp,201.40.37.152,4f12a89c0df613260bab4b325ac9054f2a0c3d0b,4,3,239
ger-por,spomp,177.132.178.189,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,5,240
spa-chi,riomp,177.134.106.12,7a64caf6773dcbd199be33c22dbd30bd37f7a372,2,3,241
ira-nig,riomp,200.196.59.218,894af19d7638770229799ae0b5cb49e0cc462309,2,3,242
mar-jap,spomp,189.124.120.251,7a6ea9f61bf602d6fe98d83e821c6200081c5e66,2,6,243
aus-hol,spomp,177.3.250.211,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,6,244
ita-cri,riomp,179.222.192.193,880e97027f972935c8f25025cf048a060dd97107,1,4,245
cri-ing_ita-uru,spomp,201.27.25.197,6a1661efe3c936b49a6eb0b7dfec8b1990904244,2,3,246
spa-chi,spomp,187.32.102.80,8423bbf8406368d9044cf566ff3c8caa7fe5e3b0,1,5,247
sui-fra,spomp,186.227.208.210,b2990bfa9e15fd2cc5b915281845342748fdabae,2,3,248
ita-cri,riomp,189.107.0.114,219460d9be7caff720d11a53a01f58926d706c0c,1,4,249
hon-sui_equ-fra,riomp,189.81.228.23,aa739e3aaaa1fbfc8667bb26120e9930df881a82,1,1,250
spa-hol,spomp,191.19.125.220,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,2,3,251
sui-fra,spomp,189.75.50.216,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,252
ale-arg,riomp,191.247.231.155,bcecac675ccbda64625a8b3147c12ef17c003c11,1,2,253
sui-fra,spomp,177.81.42.98,c3a75ccbf235d20d5e60693fa24e5d3c0e602a53,3,6,254
eng-ita,spomp,186.204.234.219,b2990bfa9e15fd2cc5b915281845342748fdabae,2,6,255
sko-alg,spomp,187.51.35.106,641a74bb91263f6b7bf4e5f19cd3a60894179757,1,1,256
uru-ing,spomp,179.186.156.20,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,2,2,257
spa-chi,riomp,200.187.8.199,f9cb0303cbf7455cb3ce1cf518dbdb40df485fee,1,7,258
gha-usa,riomp,186.207.214.97,894af19d7638770229799ae0b5cb49e0cc462309,1,4,259
arg-ira,riomp,187.13.32.189,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,260
cam-bra_cro-mex,riomp,201.76.135.159,894af19d7638770229799ae0b5cb49e0cc462309,2,3,261
aus-hol,spomp,187.5.161.158,b2990bfa9e15fd2cc5b915281845342748fdabae,3,3,262
bel-alg,spomp,177.132.230.195,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,6,263
bra-mex,spomp,179.166.241.164,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,264
mar-jap,spomp,177.15.64.66,6ad099ce205d3dd93ee93490dbcdf60df4e98291,1,7,265
spa-chi,riomp,186.235.132.79,e8d8fd74209cf056a34f1a1986f87bc12cde919a,1,7,266
ger-por,riomp,177.155.211.211,d3587de89b72e2353885c5587e36c6d04fa6822c,4,3,267
ger-por,spomp,200.96.182.144,72e119ab509aedb17a35d93e33c76a1d29abefbe,1,2,268
mex-cam,riomp,189.48.4.71,894af19d7638770229799ae0b5cb49e0cc462309,1,1,269
mex-cam,spomp,201.47.57.61,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,2,3,270
