gamename,pop,ip,agent,qtd,cluster,client_id
ger-gha,riomp,177.64.151.49,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,1,1,5138
nig-bos,spomp,177.78.12.91,72e119ab509aedb17a35d93e33c76a1d29abefbe,1,2,5139
aus-hol,spomp,187.18.193.164,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,4,5140
aus-spa_hol-chi,spomp,189.1.98.242,d37836c8167b88971e3fc9266a30eb9113767723,1,5,5141
bel-rus,spomp,191.7.170.107,894af19d7638770229799ae0b5cb49e0cc462309,1,5,5142
ger-gha,spomp,201.41.204.41,f71b45caa1db3d20d00c1e1f75d32e9b674efdbb,1,7,5143
cam-cro,riomp,187.2.96.58,1e9888d75ec75974dd90d983c7b5bd5a096f9214,1,1,5144
gha-usa,spomp,187.34.162.183,894af19d7638770229799ae0b5cb49e0cc462309,1,5,5145
gha-usa,spomp,187.38.200.45,894af19d7638770229799ae0b5cb49e0cc462309,1,1,5146
ale-arg,spomp,189.67.246.100,735aa01a1f6d12bfc29bcd4f4751720c31cbd660,1,2,5147
sui-fra,spomp,179.104.215.123,d3587de89b72e2353885c5587e36c6d04fa6822c,2,3,5148
mex-cam,riomp,187.3.34.3,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,1,5149
uru-cri,riomp,201.78.156.4,b2990bfa9e15fd2cc5b915281845342748fdabae,1,4,5150
mex-cam,riomp,200.142.0.11,06c7559a95c76af50700f3f7334642d4eae2bc19,2,3,5151
sui-fra,spomp,189.31.228.1,894af19d7638770229799ae0b5cb49e0cc462309,1,4,5152
ger-gha,spomp,179.182.196.46,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,5153
fra-nig,spomp,201.93.253.139,a14c294e78da47b05b0f83156e6f72af0c4e26c1,1,2,5154
sko-alg,spomp,189.114.122.241,894af19d7638770229799ae0b5cb49e0cc462309,2,6,5155
spa-chi,spomp,201.68.117.185,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,5156
ger-por,spomp,187.34.50.221,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,5157
spa-hol,spomp,187.74.216.190,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,5158
ira-nig,spomp,200.233.99.199,894af19d7638770229799ae0b5cb49e0cc462309,2,6,5159
eng-ita,riomp,187.23.36.61,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,5160
cam-bra_cro-mex,spomp,201.43.247.54,c3ca9ed40ebe7d1911c3d2231c81d03796ed8be0,1,4,5161
bel-alg,spomp,177.92.35.78,894af19d7638770229799ae0b5cb49e0cc462309,1,7,5162
aus-spa_hol-chi,riomp,187.115.172.16,ce3c60523b86e26e2d64a1d55023cd73d6e69d3d,1,7,5163
spa-chi,spomp,152.240.126.156,08c3bc86ee0871398967ef0b6772f5139877e363,1,2,5164
eng-ita,riomp,179.78.201.98,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,5165
aus-hol,spomp,177.96.89.44,894af19d7638770229799ae0b5cb49e0cc462309,2,6,5166
nig-arg_bos-ira,riomp,200.152.99.108,8954572a05546805e0c2de276f5782eaac299787,1,2,5167
mex-cam,riomp,179.176.42.57,894af19d7638770229799ae0b5cb49e0cc462309,1,7,5168
sui-fra,riomp,189.103.247.50,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5169
aus-spa_hol-chi,spomp,179.179.177.164,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,6,5170
col-mar,riomp,179.211.188.174,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,1,5171
mex-cam,riomp,200.165.247.18,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,7,5172
spa-hol,spomp,177.200.217.50,38603bb00d1ec09f77f331dc60e73ffc723ef276,3,3,5173
usa-por,riomp,179.211.107.50,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,3,6,5174
uru-cri,spomp,189.120.252.228,69353f2c9a2279766de7dccd14c58ac777244d81,1,7,5175
aus-spa_hol-chi,spomp,186.209.36.60,894af19d7638770229799ae0b5cb49e0cc462309,3,3,5176
jap-gre,riomp,177.193.177.1,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5177
cam-cro,riomp,179.187.139.238,98baa0ff56188180d72003c664d3928a2c4c3118,1,1,5178
ira-nig,spomp,179.87.32.198,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,5179
bel-rus,riomp,189.29.21.17,e2e64ee84c4d54ab2ce3b3db4ff8f82ba9b59106,1,1,5180
eng-ita,riomp,187.85.246.88,a9660bb0ff694424cb86b10498a28bebfb050c73,2,3,5181
ira-nig,riomp,189.82.134.64,47c4619cb6249257996c817425f5bfeb01a1fb65,1,2,5182
aus-spa_hol-chi,spomp,201.93.116.21,894af19d7638770229799ae0b5cb49e0cc462309,2,6,5183
arg-sui,spomp,177.40.254.183,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,5184
ira-nig,spomp,189.102.36.199,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,5185
ger-por,riomp,177.194.64.6,894af19d7638770229799ae0b5cb49e0cc462309,1,7,5186
bra-mex,spomp,179.182.198.44,e90c3c5decc9950ba22487b8eb20e8abaee2905e,3,2,5187
arg-sui,riomp,177.142.78.222,72e119ab509aedb17a35d93e33c76a1d29abefbe,1,2,5188
gha-usa,riomp,179.183.106.106,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,5189
cri-ing_ita-uru,spomp,189.40.75.181,5188bfdb5653e9abe1c8df737f8499d9b6809cc5,1,2,5190
fra-hon,spomp,177.214.50.219,8a56767dccf0081b1ef611bca52a59e371f28c8e,1,2,5191
sui-fra,spomp,186.204.154.6,d908dfafbf0541f38a44ac4c094507ce5c0bf4a6,3,3,5192
hol-mex,spomp,177.40.78.35,61b13c0ceec96907ddce595ce7d3ea716712030f,2,2,5193
jap-gre,riomp,187.36.120.116,2adfac9743580e39b6f9816adbf033d61bd7b31c,2,6,5194
aus-spa_hol-chi,spomp,201.88.234.61,47c4619cb6249257996c817425f5bfeb01a1fb65,1,2,5195
nig-bos,riomp,179.158.201.116,998db25467699dbbb261f7f63b2ff72c94df2d3e,1,7,5196
usa-por,spomp,177.7.243.172,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,5197
ger-gha,spomp,187.74.89.68,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5198
mar-jap,spomp,187.86.194.242,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,1,4,5199
ger-por,riomp,177.181.219.0,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,5,5200
aus-hol,spomp,187.55.7.56,b2990bfa9e15fd2cc5b915281845342748fdabae,2,3,5201
spa-hol,riomp,187.41.191.211,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,5202
ger-por,riomp,187.36.50.114,778df21ca5d8ffa1e6fec2981945c1f38ef5d1ef,1,5,5203
ita-cri,spomp,177.148.187.52,4333488ba798b74ec37051100efa275682d92d1c,3,2,5204
nig-bos,spomp,177.52.43.28,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,1,7,5205
bra-mex,spomp,177.221.162.142,894af19d7638770229799ae0b5cb49e0cc462309,1,4,5206
bel-usa,spomp,179.126.87.162,d3587de89b72e2353885c5587e36c6d04fa6822c,1,1,5207
spa-chi,spomp,189.120.199.158,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5208
spa-chi,riomp,200.183.225.130,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,1,4,5209
mex-cam,spomp,187.54.165.153,e8d8fd74209cf056a34f1a1986f87bc12cde919a,1,7,5210
aus-spa_hol-chi,spomp,177.16.54.222,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,5211
bra-cro,spomp,191.177.138.101,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,7,5212
usa-por,riomp,187.123.61.10,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,5213
arg-ira,spomp,189.125.26.226,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5214
arg-bos,riomp,177.64.209.144,0b827cbbe245dced886f4ef8e0430258113f8386,2,6,5215
hon-equ,spomp,201.94.174.83,894af19d7638770229799ae0b5cb49e0cc462309,3,3,5216
ita-cri,spomp,187.121.15.86,b2990bfa9e15fd2cc5b915281845342748fdabae,3,6,5217
bra-mex,spomp,177.132.247.66,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,1,5218
mar-jap,spomp,177.95.164.239,b2990bfa9e15fd2cc5b915281845342748fdabae,8,6,5219
uru-ing,spomp,189.102.58.163,34f90fa7d6a77267e4723a932217e6cc4a52b074,1,2,5220
spa-chi,riomp,200.141.217.201,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,5221
ita-cri,spomp,200.195.128.58,b2990bfa9e15fd2cc5b915281845342748fdabae,1,4,5222
mar-jap,riomp,191.24.139.29,09eddba4d3c6edb19fb93854255cb64fba47394a,1,2,5223
cam-bra_cro-mex,spomp,189.120.250.62,894af19d7638770229799ae0b5cb49e0cc462309,1,1,5224
bra-chi,spomp,179.165.33.101,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,2,2,5225
spa-hol,riomp,201.21.251.123,a9660bb0ff694424cb86b10498a28bebfb050c73,1,7,5226
spa-hol,riomp,189.81.217.229,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,5227
spa-hol,riomp,186.245.100.38,eb858457429df1ce55093e5616a70b4c96c1b279,2,2,5228
spa-hol,riomp,179.184.192.21,cb060b016d74291d044195769b0b72a6e3fe94d3,1,1,5229
usa-por,riomp,179.217.40.66,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,1,5230
spa-chi,riomp,200.217.63.50,894af19d7638770229799ae0b5cb49e0cc462309,1,4,5231
mar-jap,riomp,187.40.229.116,4991a63a755c0a1f2acd6ac162d06058945efe42,1,4,5232
spa-hol,spomp,187.112.241.234,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5233
ger-por,riomp,179.219.72.69,1bd568b9b2483e56c4c6c126eefc6bf29d477288,1,5,5234
ger-por,spomp,186.214.81.229,894af19d7638770229799ae0b5cb49e0cc462309,1,5,5235
spa-chi,riomp,201.72.168.178,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5236
ger-por,spomp,189.114.76.131,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5237
col-mar,riomp,179.232.85.170,894af19d7638770229799ae0b5cb49e0cc462309,1,4,5238
col-mar,spomp,187.55.214.120,42c0f3ec36c50316595b48f030ecd30631f7da5f,7,3,5239
bra-mex,riomp,179.219.102.12,ad6bd9e9c57060287f23e6a35ccaa616499b769d,1,1,5240
ger-por,spomp,200.198.105.235,b32c0a64e512b031de44fb8f740f85b6ad98365d,2,3,5241
col-gre,riomp,191.47.69.170,72e119ab509aedb17a35d93e33c76a1d29abefbe,1,2,5242
arg-bos,riomp,201.4.50.181,32648e3d1ee8221c688d3a8367e4c884a8f9deef,1,7,5243
hol-cri,riomp,191.185.63.200,894af19d7638770229799ae0b5cb49e0cc462309,1,4,5244
bra-hol,spomp,189.15.79.155,75ff74783856c7470bc25b932173b77cceb3fbe6,2,2,5245
bel-alg,riomp,189.107.212.248,4991a63a755c0a1f2acd6ac162d06058945efe42,3,3,5246
ira-nig,spomp,177.10.249.122,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,5247
ita-cri,spomp,201.20.64.19,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,3,5248
mex-cam,riomp,186.244.66.154,55efde50856b21f45aa4ea38a7358e8752aa9980,1,4,5249
aus-hol,riomp,187.87.32.6,e8d8fd74209cf056a34f1a1986f87bc12cde919a,4,3,5250
spa-hol,riomp,201.51.2.29,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,5251
spa-chi,spomp,179.186.205.222,38603bb00d1ec09f77f331dc60e73ffc723ef276,3,3,5252
ale-arg,riomp,189.51.17.134,34f90fa7d6a77267e4723a932217e6cc4a52b074,1,2,5253
bel-alg,spomp,187.49.239.74,894af19d7638770229799ae0b5cb49e0cc462309,1,7,5254
arg-ira,riomp,187.79.113.217,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,5255
ger-por,spomp,179.99.221.93,a9660bb0ff694424cb86b10498a28bebfb050c73,1,7,5256
sui-fra,riomp,179.222.3.142,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,4,5257
arg-bos,spomp,191.58.7.205,7152592bfba74946b3b461b2847c762a13c9b610,1,2,5258
hol-mex,riomp,177.205.37.18,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,5259
ira-nig,riomp,189.25.90.197,1688905d6b7437cd5c01be0f30d0e90ddfacd5f8,1,1,5260
spa-hol,riomp,187.14.178.151,219460d9be7caff720d11a53a01f58926d706c0c,1,1,5261
aus-spa_hol-chi,riomp,200.198.16.36,f7c0dd9be561ff54de5f9dc0b65ad5f967c5ad6e,2,3,5262
cri-gre,riomp,179.223.122.55,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,5263
gha-usa,spomp,177.32.22.221,8dcf1a05006c34b97faa436acde455eaf8d6de29,1,1,5264
ger-por,riomp,201.90.229.106,894af19d7638770229799ae0b5cb49e0cc462309,1,7,5265
aus-hol,riomp,179.181.42.122,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,5266
aus-spa_hol-chi,spomp,177.22.229.46,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,4,6,5267
col-mar,riomp,187.106.27.160,f92ec15a999780ede8ddb7028ddc01f590fc0dbd,1,1,5268
nig-bos,riomp,189.70.171.51,f649355a73758feaed760693a196c77573763a51,1,4,5269
spa-chi,riomp,189.61.238.149,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,5,5270
aus-spa_hol-chi,riomp,189.4.32.204,894af19d7638770229799ae0b5cb49e0cc462309,1,1,5271
aus-hol,riomp,179.154.93.71,ab9591d1bbbd6a90cafd4720c1838e9d181a40ba,1,1,5272
bel-alg,spomp,201.86.197.143,e8d8fd74209cf056a34f1a1986f87bc12cde919a,1,1,5273
rus-sko,riomp,187.73.225.178,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,5274
ita-cri,spomp,177.132.130.113,6a1661efe3c936b49a6eb0b7dfec8b1990904244,1,1,5275
mex-cam,riomp,189.12.36.209,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,1,7,5276
bra-mex,riomp,177.177.181.223,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,5277
spa-hol,spomp,177.128.56.110,894af19d7638770229799ae0b5cb49e0cc462309,1,4,5278
spa-hol,riomp,200.192.56.58,e8d8fd74209cf056a34f1a1986f87bc12cde919a,3,3,5279
ger-por,spomp,187.49.128.122,ae71f8a44711972c00ea63fd474b46efe959b9c4,1,2,5280
spa-chi,spomp,187.18.237.68,778df21ca5d8ffa1e6fec2981945c1f38ef5d1ef,2,3,5281
jap-gre,spomp,177.54.104.146,d3587de89b72e2353885c5587e36c6d04fa6822c,1,7,5282
ita-cri,spomp,189.33.83.79,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,5283
aus-hol,riomp,187.70.166.42,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,5284
spa-hol,spomp,186.226.145.2,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,5,3,5285
gha-usa,spomp,201.13.83.89,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,5286
uru-cri,riomp,201.79.104.10,894af19d7638770229799ae0b5cb49e0cc462309,1,4,5287
usa-ger_por-gha,riomp,191.247.224.22,09eddba4d3c6edb19fb93854255cb64fba47394a,1,2,5288
bra-col,spomp,177.124.59.106,aa739e3aaaa1fbfc8667bb26120e9930df881a82,1,1,5289
fra-nig,riomp,177.159.157.34,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,5290
mar-jap,riomp,187.126.204.173,b2990bfa9e15fd2cc5b915281845342748fdabae,1,4,5291
ira-nig,riomp,177.43.74.212,71312375b5c172618bc1f3df30cb21369ff47bc2,2,6,5292
mar-jap,riomp,187.2.171.60,a9660bb0ff694424cb86b10498a28bebfb050c73,2,3,5293
